Source,Name,Min salary,Max salary,Currency,Link
HH.ru,Oracle разработчик,,,,https://hh.ru/vacancy/39715958?query=oracle%20pl/sql
HH.ru,Администратор баз данных Oracle,,,,https://hh.ru/vacancy/39797646?query=oracle%20pl/sql
HH.ru,Разработчик баз данных (PostgreSQL),,,,https://hh.ru/vacancy/39540827?query=oracle%20pl/sql
HH.ru,Разработчик OEBS Oracle E-Business Suite,,,,https://hh.ru/vacancy/39688725?query=oracle%20pl/sql
HH.ru,Программист - математик,,,,https://hh.ru/vacancy/39780731?query=oracle%20pl/sql
HH.ru,"Ведущий специалист Отдела технологического развития (SQL, BI)",110000.0,,руб.,https://hh.ru/vacancy/38878347?query=oracle%20pl/sql
HH.ru,Разработчик (отдел развитие хранилищ данных),,,,https://hh.ru/vacancy/39520143?query=oracle%20pl/sql
HH.ru,Аналитик OEBS/Oracle BPM,,,,https://hh.ru/vacancy/39315574?query=oracle%20pl/sql
HH.ru,Разработчик SQL (Отдел разработки программного обеспечения),,,,https://hh.ru/vacancy/38737223?query=oracle%20pl/sql
HH.ru,Архитектор баз данных,200000.0,250000.0,руб.,https://hh.ru/vacancy/37333913?query=oracle%20pl/sql
HH.ru,Разработчик Oracle,,,,https://hh.ru/vacancy/39713722?query=oracle%20pl/sql
HH.ru,Ведущий разработчик Oracle PL/SQL,,,,https://hh.ru/vacancy/37714513?query=oracle%20pl/sql
HH.ru,Oracle Team lead,,,,https://hh.ru/vacancy/38640458?query=oracle%20pl/sql
HH.ru,Ведущий разработчик СУБД (Oracle / PostgreSQL),,,,https://hh.ru/vacancy/39353842?query=oracle%20pl/sql
HH.ru,Инженер-программист Oracle e-Business Suite,,,,https://hh.ru/vacancy/37576833?query=oracle%20pl/sql
HH.ru,Разработчик PL/SQL (Oracle),,,,https://hh.ru/vacancy/39674315?query=oracle%20pl/sql
HH.ru,Fullstack developer (Oracle + JavaScript),,,,https://hh.ru/vacancy/39791181?query=oracle%20pl/sql
HH.ru,Разработчик ETL,,180000.0,руб.,https://hh.ru/vacancy/39769925?query=oracle%20pl/sql
HH.ru,"Системный аналитик ( SQL, DWH)",,,,https://hh.ru/vacancy/38196849?query=oracle%20pl/sql
HH.ru,"Программист-разработчик Oracle Application Express (APEX), PL/SQL",,150000.0,руб.,https://hh.ru/vacancy/38026309?query=oracle%20pl/sql
HH.ru,Senior Oracle Developer,,,,https://hh.ru/vacancy/39734010?query=oracle%20pl/sql
HH.ru,Java Developer (Единая клиентская база данных),,,,https://hh.ru/vacancy/38883364?query=oracle%20pl/sql
HH.ru,Разработчик Oracle Bi,,,,https://hh.ru/vacancy/39769612?query=oracle%20pl/sql
HH.ru,Разработчик (Oracle),,,,https://hh.ru/vacancy/39704686?query=oracle%20pl/sql
HH.ru,PL + developer,,,,https://hh.ru/vacancy/39715586?query=oracle%20pl/sql
